Gene,Regulatory_Factor,Correlation,P_Value,Significant
FUN_037353,miRNA,0.13701398751893187,0.3991945855147986,False
FUN_037353,lncRNA,0.21256004797072997,0.18789715094664475,False
FUN_037353,DNA_methylation,0.1653427681804143,0.3079186768935391,False
FUN_042621,miRNA,0.34015321169162466,0.03174571180056807,True
FUN_042621,lncRNA,0.07876297800996558,0.6290272499400381,False
FUN_042621,DNA_methylation,0.4996865684431591,0.0010277994409225609,True
FUN_027435,miRNA,-0.03217575093099465,0.8437529425402308,False
FUN_027435,lncRNA,0.07573809650195781,0.6422977702137184,False
FUN_027435,DNA_methylation,-0.05712440775366302,0.7262514937153759,False
FUN_042863,miRNA,-0.2850390062841622,0.07462394619679641,False
FUN_042863,lncRNA,-0.05337246126742208,0.7436025310873844,False
FUN_042863,DNA_methylation,-0.4080378880004112,0.00895731441067354,True
FUN_026526,miRNA,0.17100529404926154,0.2914102625620164,False
FUN_026526,lncRNA,-0.23127417656114432,0.1510381093695404,False
FUN_026526,DNA_methylation,-0.008347782773595248,0.9592277601341984,False
FUN_027084,miRNA,-0.10270512054197177,0.5282774529699042,False
FUN_027084,lncRNA,-0.00291216031281807,0.9857712034570572,False
FUN_027084,DNA_methylation,0.1843593618871525,0.2547815527384531,False
FUN_012406,miRNA,-0.4232836483578022,0.006499914259804693,True
FUN_012406,lncRNA,-0.05294249651543159,0.7455991123068108,False
FUN_012406,DNA_methylation,-0.4686491523280389,0.002287789386807391,True
FUN_009574,miRNA,0.4283639431642445,0.005822277627324743,True
FUN_009574,lncRNA,-0.16352271540931118,0.3133484745783382,False
FUN_009574,DNA_methylation,0.5445482693891284,0.00028049575423517916,True
FUN_025445,miRNA,-0.16663521487227534,0.3040994119599576,False
FUN_025445,lncRNA,-0.036033231767996714,0.8252954915661147,False
FUN_025445,DNA_methylation,-0.30439878647582264,0.05616736353486416,False
FUN_015992,miRNA,0.2148667113816728,0.18303858673690448,False
FUN_015992,lncRNA,0.02677849072631912,0.869714724796932,False
FUN_015992,DNA_methylation,0.14367933701933727,0.3764293026134907,False
FUN_031758,miRNA,-0.23025770369001067,0.15289284909819828,False
FUN_031758,lncRNA,-0.05933826794089791,0.7160756669393356,False
FUN_031758,DNA_methylation,-0.29477186941561095,0.06482698331668814,False
FUN_008377,miRNA,0.4556474068107342,0.003130930067656223,True
FUN_008377,lncRNA,-0.17865028625925664,0.27004573271096916,False
FUN_008377,DNA_methylation,0.45843811109455357,0.002930010312981394,True
FUN_036011,miRNA,-0.044797687153616005,0.783716562542238,False
FUN_036011,lncRNA,-0.1849473168440361,0.25324296053237927,False
FUN_036011,DNA_methylation,-0.0134830264098223,0.9341904612036146,False
FUN_008297,miRNA,-0.19549960576997213,0.22668290369880223,False
FUN_008297,lncRNA,0.20868214432486118,0.19626985017171417,False
FUN_008297,DNA_methylation,-0.17051059543276548,0.29282927917787116,False
FUN_018217,miRNA,0.05205054569611455,0.7497461893786929,False
FUN_018217,lncRNA,-0.3747395232674931,0.017197965061191586,True
FUN_018217,DNA_methylation,-0.10665191331925318,0.5124620098729427,False
FUN_041412,miRNA,-0.40891476183931164,0.00879702461146635,True
FUN_041412,lncRNA,-0.053510287835310456,0.7429628700198019,False
FUN_041412,DNA_methylation,-0.4953534021387081,0.0011545037640111008,True
FUN_031777,miRNA,-0.012436035613260227,0.9392908598420119,False
FUN_031777,lncRNA,0.08607630104370123,0.5974205801904136,False
FUN_031777,DNA_methylation,0.2374003497651837,0.14020697807803334,False
FUN_037355,miRNA,0.12663825163986872,0.43617068865941283,False
FUN_037355,lncRNA,0.21432449320159128,0.18417255209347427,False
FUN_037355,DNA_methylation,0.16495295806110943,0.30907654476533586,False
FUN_004147,miRNA,0.22123072862895507,0.17009889198634956,False
FUN_004147,lncRNA,0.13493183598414235,0.40646572195677366,False
FUN_004147,DNA_methylation,0.36306081712374416,0.021302600426915192,True
FUN_037244,miRNA,0.1845798012438072,0.25420396560978453,False
FUN_037244,lncRNA,0.0807070004170818,0.620558567462094,False
FUN_037244,DNA_methylation,0.18968577213344306,0.24106994314752725,False
